enemy_a,enemy_b,must_be_together_a,must_be_together_b,group_id,group_member_id,attendees_id,table_sizes
1,3,12,120,1,3,1,10
5,4,22,168,1,4,2,11
9,6,33,190,1,8,3,12
13,9,44,197,1,9,4,13
18,14,45,167,1,15,5,14
24,23,56,122,1,23,6,10
27,24,44,167,1,23,7,11
31,26,15,100,1,27,8,12
36,30,15,101,1,31,9,13
41,34,102,115,1,35,10,14
45,38,95,81,1,39,11,20
50,42,,,1,42,12,11
54,45,,,2,15,13,12
59,49,,,2,64,14,13
63,53,,,2,88,15,14
68,57,,,2,89,16,10
72,61,,,2,93,17,
77,64,,,2,124,18,
81,68,,,2,142,19,
86,72,,,2,160,20,
91,76,,,2,178,21,
95,80,,,2,196,22,
99,83,,,2,198,23,
14,87,,,2,200,24,
108,91,,,3,13,25,
104,95,,,3,20,26,
113,99,,,3,29,27,
122,102,,,3,36,28,
126,106,,,3,44,29,
131,110,,,3,52,30,
135,114,,,3,60,31,
140,119,,,3,68,32,
144,125,,,3,76,33,
149,127,,,3,84,34,
153,131,,,3,92,35,
158,135,,,3,100,36,
162,140,,,3,109,37,
163,144,,,3,117,38,
166,148,,,4,12,39,
167,152,,,4,19,40,
177,156,,,4,24,41,
185,160,,,4,28,42,
180,165,,,4,34,43,
194,169,,,4,39,44,
195,173,,,4,44,45,
196,177,,,4,50,46,
2,181,,,4,55,47,
24,185,,,4,60,48,
199,190,,,4,65,49,
200,194,,,4,71,50,
7,198,,,4,76,51,
,,,,4,81,52,
,,,,4,87,53,
,,,,4,92,54,
,,,,4,97,55,
,,,,4,102,56,
,,,,4,108,57,
,,,,4,114,58,
,,,,5,59,59,
,,,,5,71,60,
,,,,5,75,61,
,,,,5,78,62,
,,,,5,83,63,
,,,,5,89,64,
,,,,5,95,65,
,,,,5,100,66,
,,,,5,106,67,
,,,,5,115,68,
,,,,5,117,69,
,,,,5,122,70,
,,,,5,128,71,
,,,,5,133,72,
,,,,5,139,73,
,,,,5,144,74,
,,,,5,150,75,
,,,,5,155,76,
,,,,5,161,77,
,,,,5,166,78,
,,,,5,172,79,
,,,,5,177,80,
,,,,5,183,81,
,,,,5,188,82,
,,,,5,194,83,
,,,,6,25,84,
,,,,6,26,85,
,,,,6,39,86,
,,,,6,41,87,
,,,,6,43,88,
,,,,6,50,89,
,,,,6,55,90,
,,,,6,60,91,
,,,,6,65,92,
,,,,6,71,93,
,,,,6,75,94,
,,,,6,80,95,
,,,,6,86,96,
,,,,7,108,97,
,,,,7,113,98,
,,,,7,118,99,
,,,,7,123,100,
,,,,7,128,101,
,,,,7,133,102,
,,,,7,138,103,
,,,,7,143,104,
,,,,7,148,105,
,,,,7,153,106,
,,,,7,158,107,
,,,,7,163,108,
,,,,7,168,109,
,,,,7,173,110,
,,,,7,178,111,
,,,,7,183,112,
,,,,8,145,113,
,,,,8,149,114,
,,,,8,154,115,
,,,,8,160,116,
,,,,8,162,117,
,,,,8,165,118,
,,,,8,170,119,
,,,,8,174,120,
,,,,8,178,121,
,,,,8,182,122,
,,,,8,186,123,
,,,,8,191,124,
,,,,8,195,125,
,,,,8,199,126,
,,,,8,200,127,
,,,,9,89,128,
,,,,9,96,129,
,,,,9,98,130,
,,,,9,103,131,
,,,,9,104,132,
,,,,9,109,133,
,,,,9,112,134,
,,,,9,116,135,
,,,,9,120,136,
,,,,9,123,137,
,,,,9,127,138,
,,,,9,131,139,
,,,,9,135,140,
,,,,9,138,141,
,,,,9,142,142,
,,,,9,146,143,
,,,,9,149,144,
,,,,9,153,145,
,,,,9,157,146,
,,,,9,160,147,
,,,,9,164,148,
,,,,9,168,149,
,,,,9,172,150,
,,,,9,175,151,
,,,,9,179,152,
,,,,9,183,153,
,,,,9,186,154,
,,,,10,35,155,
,,,,10,43,156,
,,,,10,51,157,
,,,,10,59,158,
,,,,10,67,159,
,,,,10,75,160,
,,,,10,83,161,
,,,,10,91,162,
,,,,10,99,163,
,,,,10,107,164,
,,,,10,115,165,
,,,,10,123,166,
,,,,10,131,167,
,,,,10,139,168,
,,,,10,147,169,
,,,,10,155,170,
,,,,10,163,171,
,,,,10,171,172,
,,,,10,179,173,
,,,,10,187,174,
,,,,10,195,175,
,,,,10,27,176,
,,,,10,19,177,
,,,,10,11,178,
,,,,10,3,179,
,,,,10,4,180,
,,,,,,181,
,,,,,,182,
,,,,,,183,
,,,,,,184,
,,,,,,185,
,,,,,,186,
,,,,,,187,
,,,,,,188,
,,,,,,189,
,,,,,,190,
,,,,,,191,
,,,,,,192,
,,,,,,193,
,,,,,,194,
,,,,,,195,
,,,,,,196,
,,,,,,197,
,,,,,,198,
,,,,,,199,
,,,,,,200,
