enemy_a,enemy_b,must_be_together_a,must_be_together_b,group_id,group_member_id,attendees_id,table_sizes
13,23,1,2,1,1,1,10
24,31,5,6,1,2,2,10
25,32,7,8,1,3,3,10
41,42,18,19,1,4,4,10
6,7,24,26,1,5,5,10
,,29,30,1,6,6,
,,31,32,2,7,7,
,,35,37,2,8,8,
,,38,39,2,9,9,
,,44,45,2,10,10,
,,42,50,2,11,11,
,,43,47,3,12,12,
,,14,16,3,13,13,
,,12,13,3,14,14,
,,,,3,15,15,
,,,,3,16,16,
,,,,3,17,17,
,,,,3,18,18,
,,,,3,19,19,
,,,,4,20,20,
,,,,4,21,21,
,,,,4,22,22,
,,,,4,23,23,
,,,,5,24,24,
,,,,5,25,25,
,,,,5,26,26,
,,,,5,27,27,
,,,,5,28,28,
,,,,5,29,29,
,,,,5,30,30,
,,,,6,31,31,
,,,,6,32,32,
,,,,6,33,33,
,,,,6,34,34,
,,,,6,35,35,
,,,,6,36,36,
,,,,6,37,37,
,,,,7,38,38,
,,,,7,39,39,
,,,,7,40,40,
,,,,7,41,41,
,,,,8,42,42,
,,,,8,43,43,
,,,,8,44,44,
,,,,8,45,45,
,,,,8,46,46,
,,,,8,47,47,
,,,,8,48,48,
,,,,8,49,49,
,,,,8,50,50,
