enemy_a,enemy_b,must_be_together_a,must_be_together_b,group_id,group_member_id,attendees_id,table_sizes
5,9,10,13,1,1,1,12
8,13,16,88,1,2,2,12
9,47,52,53,1,3,3,12
8,47,117,118,1,4,4,12
10,55,104,105,1,5,5,12
58,99,1,2,1,6,6,10
100,103,4,5,1,7,7,10
100,104,100,110,1,8,8,10
100,105,88,89,2,8,9,10
100,118,77,78,2,10,10,10
20,25,90,107,2,13,11,10
21,27,87,98,3,9,12,
29,40,63,64,3,11,13,
30,41,65,68,3,13,14,
40,41,14,23,3,14,15,
66,68,15,28,3,15,16,
68,75,17,18,3,16,17,
,,19,21,3,18,18,
,,,,4,20,19,
,,,,4,21,20,
,,,,4,22,21,
,,,,4,23,22,
,,,,5,6,23,
,,,,5,13,24,
,,,,5,17,25,
,,,,5,18,26,
,,,,5,19,27,
,,,,5,22,28,
,,,,6,25,29,
,,,,6,26,30,
,,,,6,27,31,
,,,,6,28,32,
,,,,6,29,33,
,,,,6,30,34,
,,,,6,31,35,
,,,,6,32,36,
,,,,6,33,37,
,,,,6,34,38,
,,,,6,36,39,
,,,,7,30,40,
,,,,7,33,41,
,,,,7,36,42,
,,,,7,39,43,
,,,,7,41,44,
,,,,7,43,45,
,,,,7,49,46,
,,,,7,119,47,
,,,,7,120,48,
,,,,8,5,49,
,,,,8,53,50,
,,,,8,88,51,
,,,,8,89,52,
,,,,8,101,53,
,,,,8,103,54,
,,,,8,104,55,
,,,,8,105,56,
,,,,9,52,57,
,,,,9,53,58,
,,,,9,59,59,
,,,,9,63,60,
,,,,9,71,61,
,,,,9,78,62,
,,,,9,88,63,
,,,,9,89,64,
,,,,9,94,65,
,,,,9,117,66,
,,,,10,66,67,
,,,,10,67,68,
,,,,10,68,69,
,,,,10,81,70,
,,,,10,88,71,
,,,,10,99,72,
,,,,10,100,73,
,,,,10,110,74,
,,,,11,94,75,
,,,,11,95,76,
,,,,11,96,77,
,,,,11,97,78,
,,,,11,98,79,
,,,,11,99,80,
,,,,11,100,81,
,,,,11,101,82,
,,,,11,102,83,
,,,,11,103,84,
,,,,11,104,85,
,,,,11,105,86,
,,,,11,106,87,
,,,,12,17,88,
,,,,12,23,89,
,,,,12,24,90,
,,,,12,25,91,
,,,,12,36,92,
,,,,12,37,93,
,,,,12,39,94,
,,,,12,47,95,
,,,,12,85,96,
,,,,12,87,97,
,,,,12,98,98,
,,,,12,99,99,
,,,,12,104,100,
,,,,12,105,101,
,,,,12,106,102,
,,,,,,103,
,,,,,,104,
,,,,,,105,
,,,,,,106,
,,,,,,107,
,,,,,,108,
,,,,,,109,
,,,,,,110,
,,,,,,111,
,,,,,,112,
,,,,,,113,
,,,,,,114,
,,,,,,115,
,,,,,,116,
,,,,,,117,
,,,,,,118,
,,,,,,119,
,,,,,,120,
